WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
RHE 100 PERRY 13-20-63-23,0497750,ALBERTA CROWN,663.6M,100/13-20-063-23W4/00  S  309.5M  W,215.1M,ST. ALBERT,3000.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-02-19,DEV (C),PERRYVALE,CLEARWATER FM,ROLLING HILLS ENERGY LTD.,16-24-063-24W4,24063244,8,2,2020,24063244,54.46348387,-113.4840146
ENTRADA 102 HZ WILLGR 16-2-42-6,0497751,ALBERTA CROWN,1092.5M,102/16-02-042-06W5/00  N  651.0M  W,312.5M,RED DEER,4500.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-02-19,DEV (NC),WILLESDEN GREEN,CARDIUM FM,ENTRADA RESOURCES INC.,08-35-041-06W5,35041065,8,2,2020,35041065,52.57398976,-114.7454716
PEYTO WILD RIV 4-33-55-24,0497752,ALBERTA CROWN,1170.8M,100/04-33-055-24W5/00  S   46.6M  E,344.8M,DRAYTON VALLEY,3800.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-02-19,DEV (C),WILD RIVER,CARDIUM FM,PEYTO EXPLORATION & DEVELOPMENT CORP.,13-33-055-24W5,33055245,8,2,2020,33055245,53.79560467,-117.4948239
PEYTO WILD RIV 3-33-55-24,0497753,ALBERTA CROWN,1170.8M,100/03-33-055-24W5/00  S   43.1M  E,348.2M,DRAYTON VALLEY,3850.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-02-19,DEV (C),WILD RIVER,CARDIUM FM,PEYTO EXPLORATION & DEVELOPMENT CORP.,13-33-055-24W5,33055245,8,2,2020,33055245,53.79560467,-117.4948239
PEYTO CHAMBERS 9-15-41-11,0497754,ALBERTA CROWN,1111.2M,100/09-15-041-11W5/00  N  213.6M  W,22.6M,RED DEER,4100.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-02-19,DEV (C),CHAMBERS,CARDIUM FM,PEYTO EXPLORATION & DEVELOPMENT CORP.,01-21-041-11W5,21041115,8,2,2020,21041115,52.54491845,-115.5127679
PEYTO CHAMBERS 13-21-41-11,0497755,ALBERTA CROWN,1111.2M,102/13-21-041-11W5/00  N  217.6M  W,19.7M,RED DEER,4300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-02-19,DEV (C),UNDEFINED,CARDIUM FM,PEYTO EXPLORATION & DEVELOPMENT CORP.,01-21-041-11W5,21041115,8,2,2020,21041115,52.54491845,-115.5127679
ENTRADA HZ WILLGR 13-17-41-5,0497756,ALBERTA CROWN,1005.6M,100/13-17-041-05W5/00  S  376.1M  W,698.8M,RED DEER,4200.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-02-19,DEV (NC),WILLESDEN GREEN,CARDIUM FM,ENTRADA RESOURCES INC.,15-16-041-05W5,16041055,8,2,2020,16041055,52.53048473,-114.6495364
7GEN HZ 103 KARR 7-10-64-4,0497757,ALBERTA CROWN,914.6M,103/07-10-064-04W6/00  S  632.6M  E,107.2M,GRANDE PRAIRIE,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-02-19,DEV (NC),KARR,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,12-01-064-04W6,1064046,8,2,2020,1064046,54.50889010000001,-118.4535345
7GEN HZ 105 KARR 13-11-64-4,0497758,ALBERTA CROWN,915M,105/13-11-064-04W6/00  S  601.0M  E,97.8M,GRANDE PRAIRIE,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-02-19,DEV (NC),KARR,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,12-01-064-04W6,1064046,8,2,2020,1064046,54.50889010000001,-118.4535345
7GEN HZ 106 KARR 13-11-64-4,0497759,ALBERTA CROWN,915M,106/13-11-064-04W6/00  S  586.5M  E,145.9M,GRANDE PRAIRIE,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-02-19,DEV (NC),KARR,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,12-01-064-04W6,1064046,8,2,2020,1064046,54.50889010000001,-118.4535345
7GEN HZ 105 KARR 14-11-64-4,0497760,ALBERTA CROWN,915M,105/14-11-064-04W6/00  S  575.9M  E,142.7M,GRANDE PRAIRIE,6300.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-02-19,DEV (NC),KARR,MONTNEY FM,SEVEN GENERATIONS ENERGY LTD.,12-01-064-04W6,1064046,8,2,2020,1064046,54.50889010000001,-118.4535345
ARTIS HZ HUXLEY 15-3-34-24,0497761,BOTH,924.1M,100/15-03-034-24W4/00  N   70.0M  E,742.4M,RED DEER,6000.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-02-19,DEV (C),HUXLEY,DUVERNAY FM,ARTIS EXPLORATION LTD.,03-22-034-24W4,22034244,8,2,2020,22034244,51.932968,-113.3121381
PARA 102 HZ WILLGR 15-14-40-6,0497762,ALBERTA CROWN,954.8M,102/15-14-040-06W5/00  N   99.7M  E,175.7M,RED DEER,7552.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-02-19,DEV (NC),WILLESDEN GREEN,DUVERNAY FM,PARAMOUNT RESOURCES LTD.,04-07-040-05W5,7040055,8,2,2020,7040055,52.42855379,-114.69759409999999
