WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
SYNCRUDE AN 20-5824 3-17-96-10,0498535,ALBERTA CROWN,0M,100/03-17-096-10W4/00  N   46.3M  E,703.2M,BONNYVILLE,372.0,VERTICAL,NEW,OBSERVATION,NONE,2020-10-13,DSW (NC),UNDEFINED,ELK POINT GRP,SYNCRUDE CANADA LTD.,03-17-096-10W4,17096104,42,10,2020,17096104,57.32997114,-111.5775165
SYNCRUDE AN 20-5825 13-8-96-10,0498536,ALBERTA CROWN,0M,100/13-08-096-10W4/00  S  235.1M  E,126.2M,BONNYVILLE,390.0,VERTICAL,NEW,OBSERVATION,NONE,2020-10-13,DSW (NC),UNDEFINED,ELK POINT GRP,SYNCRUDE CANADA LTD.,13-08-096-10W4,8096104,42,10,2020,8096104,57.31534041,-111.57753429999998
SYNCRUDE AN 20-5826 5-8-96-10,0498537,ALBERTA CROWN,0M,100/05-08-096-10W4/00  N  485.4M  E,353.9M,BONNYVILLE,331.0,VERTICAL,NEW,OBSERVATION,NONE,2020-10-13,DSW (NC),UNDEFINED,ELK POINT GRP,SYNCRUDE CANADA LTD.,05-08-096-10W4,8096104,42,10,2020,8096104,57.31534041,-111.57753429999998
SPL 1-24 HZ MARTENH 1-21-75-26,0498538,ALBERTA CROWN,829.7M,100/01-21-075-26W4/00  N  364.2M  W,72.5M,ST. ALBERT,2400.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-10-13,DEV (NC),MARTEN HILLS,CLEARWATER FM,SPUR PETROLEUM LTD.,01-24-075-01W5,24075015,42,10,2020,24075015,55.51212504,-114.00206499999999
CPEC HZ JUDYCK 5-28-64-10,0498539,ALBERTA CROWN,975.2M,100/05-28-064-10W5/00  N  180.7M  E,527.7M,ST. ALBERT,6000.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-10-13,DEV (NC),JUDY CREEK,SLAVE POINT FM,CRESCENT POINT ENERGY CORP.,03-16-064-10W5,16064105,42,10,2020,16064105,54.53781419,-115.4380396
LONGSHORE HZ 103 PROVOST 8-13-40-7,0498540,ALBERTA CROWN,697.8M,103/08-13-040-07W4/00  S  607.9M  E,584.6M,WAINWRIGHT,1463.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-10-13,DEV (NC),PROVOST,CUMMINGS MBR,LONGSHORE RESOURCES LTD.,11-13-040-07W4,13040074,42,10,2020,13040074,52.44126189999999,-110.8688144
LONGSHORE HZ 104 PROVOST 8-13-40-7,0498541,ALBERTA CROWN,696.5M,104/08-13-040-07W4/00  S  597.9M  E,584.6M,WAINWRIGHT,1460.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-10-13,DEV (NC),PROVOST,CUMMINGS MBR,LONGSHORE RESOURCES LTD.,11-13-040-07W4,13040074,42,10,2020,13040074,52.44126189999999,-110.8688144
CVE 100 HZ PEMBINA 16-13-46-9,0498542,ALBERTA CROWN,864.6M,100/16-13-046-09W5/00  N  109.1M  W,460.9M,DRAYTON VALLEY,5128.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-10-13,DEV (NC),PEMBINA,CARDIUM FM,CENOVUS ENERGY INC.,02-22-046-09W5,22046095,42,10,2020,22046095,52.98162760000001,-115.2106188
GRL 1-25 HZ VALHALLA 16-25-78-8,0498543,ALBERTA CROWN,717.1M,100/16-25-078-08W6/00  N  135.1M  W,119.9M,GRANDE PRAIRIE,1688.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-10-13,DEV (NC),VALHALLA,DOE CREEK MBR,GRIZZLY RESOURCES LTD.,01-25-078-08W6,25078086,42,10,2020,25078086,55.78862927,-119.086402
CPEC HZ JUDYCK 14-16-64-11,0498544,ALBERTA CROWN,1007.9M,100/14-16-064-11W5/00  N  231.0M  E,711.4M,ST. ALBERT,4600.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2020-10-13,DEV (NC),JUDY CREEK,SLAVE POINT FM,CRESCENT POINT ENERGY CORP.,03-28-064-11W5,28064115,42,10,2020,28064115,54.56692394,-115.5892264
