WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
JUPITER HZ SMOKY 5-10-59-2,0498066,ALBERTA CROWN,1283.8M,102/05-10-059-02W6/00  S  743.2M  E,149.8M,DRAYTON VALLEY,6490.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-05-27,DEV (NC),SMOKY,SPIRIT RIVER FM,JUPITER RESOURCES INC.,12-12-059-02W6,12059026,22,5,2020,12059026,54.08678171,-118.15027590000001
JUPITER HZ SMOKY 12-10-59-2,0498067,ALBERTA CROWN,1284.1M,103/12-10-059-02W6/00  S  735.2M  E,149.6M,DRAYTON VALLEY,6367.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-05-27,DEV (NC),SMOKY,SPIRIT RIVER FM,JUPITER RESOURCES INC.,12-12-059-02W6,12059026,22,5,2020,12059026,54.08678171,-118.15027590000001
PEYTO NOSEHILL 2-4-55-20,0498068,ALBERTA CROWN,1232.3M,100/02-04-055-20W5/00  S  231.9M  W,354.3M,DRAYTON VALLEY,5550.0,HORIZONTAL,NEW,PRODUCTION,GAS,2020-05-27,DEV (C),NOSEHILL,WILRICH MBR,PEYTO EXPLORATION & DEVELOPMENT CORP.,16-09-055-20W5,9055205,22,5,2020,9055205,53.73738518,-116.90006000000001
IMP H87-H01 LEMING 5-10-66-4,0498069,ALBERTA CROWN,614.5M,107/05-10-066-04W4/00  S  426.8M  W,68.6M,BONNYVILLE,2114.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-05-27,DEV (NC),LEMING,CLEARWATER FM,IMPERIAL OIL RESOURCES LIMITED,09-03-066-04W4,3066044,22,5,2020,3066044,54.68256523,-110.5101998
IMP H87-H02 LEMING 5-10-66-4,0498070,ALBERTA CROWN,614.5M,108/05-10-066-04W4/00  S  409.2M  W,105.9M,BONNYVILLE,2040.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-05-27,DEV (NC),LEMING,CLEARWATER FM,IMPERIAL OIL RESOURCES LIMITED,09-03-066-04W4,3066044,22,5,2020,3066044,54.68256523,-110.5101998
IMP H87-H03 LEMING 5-10-66-4,0498071,ALBERTA CROWN,614.5M,109/05-10-066-04W4/00  S  419.0M  W,107.8M,BONNYVILLE,1906.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-05-27,DEV (NC),LEMING,CLEARWATER FM,IMPERIAL OIL RESOURCES LIMITED,09-03-066-04W4,3066044,22,5,2020,3066044,54.68256523,-110.5101998
IMP H87-H04 LEMING 5-10-66-4,0498072,ALBERTA CROWN,614.5M,110/05-10-066-04W4/00  S  428.8M  W,109.8M,BONNYVILLE,1890.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-05-27,DEV (NC),LEMING,CLEARWATER FM,IMPERIAL OIL RESOURCES LIMITED,09-03-066-04W4,3066044,22,5,2020,3066044,54.68256523,-110.5101998
IMP H87-H05 LEMING 4-10-66-4,0498073,ALBERTA CROWN,614.5M,106/04-10-066-04W4/00  S  438.6M  W,111.8M,BONNYVILLE,1910.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-05-27,DEV (NC),LEMING,CLEARWATER FM,IMPERIAL OIL RESOURCES LIMITED,09-03-066-04W4,3066044,22,5,2020,3066044,54.68256523,-110.5101998
IMP H87-H06 LEMING 4-10-66-4,0498074,ALBERTA CROWN,614.5M,107/04-10-066-04W4/00  S  448.5M  W,113.7M,BONNYVILLE,1923.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-05-27,DEV (NC),LEMING,CLEARWATER FM,IMPERIAL OIL RESOURCES LIMITED,09-03-066-04W4,3066044,22,5,2020,3066044,54.68256523,-110.5101998
IMP H87-H07 LEMING 4-10-66-4,0498075,ALBERTA CROWN,614.5M,108/04-10-066-04W4/00  S  436.6M  W,70.6M,BONNYVILLE,2027.0,HORIZONTAL,NEW,PRODUCTION (SCHEME),CRUDE BITUMEN,2020-05-27,DEV (NC),LEMING,CLEARWATER FM,IMPERIAL OIL RESOURCES LIMITED,09-03-066-04W4,3066044,22,5,2020,3066044,54.68256523,-110.5101998
