WELL NAME,LICENCE NUMBER,MINERAL RIGHTS,GROUND ELEVATION,UID,SURFACE CO-ORDINATES,BOARD FIELD CENTRE,PROJECTED DEPTH,DRILLING OPERATION,WELL PURPOSE,WELL TYPE,SUBSTANCE,DATE,LAHEE CLASSIFICATION,FIELD,TERMINATING ZONE,LICENSEE,SURFACE LOCATION,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long
YANGARRA HZ 104 FERRIER 1-5-37-7,0499179,ALBERTA CROWN,1062.2M,104/01-05-037-07W5/00  N  362.3M  E,105.8M,RED DEER,5622.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2021-01-05,DEV (NC),FERRIER,CARDIUM FM,YANGARRA RESOURCES CORP.,04-16-037-07W5,16037075,1,1,2021,16037075,52.18086888,-114.9299322
NEP LEDUC-WB 16-28-48-25,0499180,ALBERTA CROWN,756.9M,100/16-28-048-25W4/00  S  100.0M  W,100.0M,ST. ALBERT,1675.0,VERTICAL,NEW,PRODUCTION,CRUDE OIL,2021-01-05,XPL (C),LEDUC-WOODBEND,IRETON FM,NEP CANADA ULC,16-28-048-25W4,28048254,1,1,2021,28048254,53.17057658,-113.5860655
CEQUENCE 12-26 HZ SMOKY 14-33-61-27,0499181,ALBERTA CROWN,1183.8M,100/14-33-061-27W5/00  S  610.3M  E,434.7M,GRANDE PRAIRIE,6700.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2021-01-05,DEV (C),SMOKY,MONTNEY FM,CEQUENCE ENERGY LTD.,11-26-061-27W5,26061275,1,1,2021,26061275,54.30503946,-117.9261736
CEQUENCE 12-26 HZ SMOKY 15-33-61-27,0499182,ALBERTA CROWN,1183.8M,100/15-33-061-27W5/00  S  596.3M  E,429.3M,GRANDE PRAIRIE,6500.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2021-01-05,DEV (C),SMOKY,MONTNEY FM,CEQUENCE ENERGY LTD.,11-26-061-27W5,26061275,1,1,2021,26061275,54.30503946,-117.9261736
ACCELEWARE HZ MARW 7-18-53-2,0499183,ALBERTA CROWN,604.5M,100/07-18-053-02W4/00  N  512.6M  W,298.9M,BONNYVILLE,1800.0,HORIZONTAL,NEW,EXPERIMENTAL,NONE,2021-01-05,EX (C),MARWAYNE,LOWER GRAND RAPIDS,ACCELEWARE LTD.,08-13-053-02W4,13053024,1,1,2021,13053024,53.57724059,-110.1531165
RHE 100 WESTLOCK 13-34-61-26,0499184,ALBERTA CROWN,625.1M,100/13-34-061-26W4/00  N   60.0M  W,233.0M,ST. ALBERT,2685.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2021-01-05,DEV (C),WESTLOCK,CLEARWATER FM,ROLLING HILLS ENERGY LTD.,01-05-062-26W4,5062264,1,1,2021,5062264,54.33405442,-113.8505362
TQN FERRIER 4-28-44-10,0499185,FREEHOLD,949.3M,102/04-28-044-10W5/00  N   95.0M  W,125.0M,RED DEER,3940.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-05,DEV (NC),FERRIER,SPIRIT RIVER FM,TAQA NORTH LTD.,01-28-044-10W5,28044105,1,1,2021,28044105,52.82163434,-115.379796
TXNE 8D-31 HZ ALDSON 6-4-15-13,0499186,FREEHOLD,748.5M,100/06-04-015-13W4/00  N  734.7M  W,44.9M,MEDICINE HAT,3100.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2021-01-05,DEV (NC),ALDERSON,ELLERSLIE MBR,TORXEN ENERGY LTD.,08-31-014-13W4,31014134,1,1,2021,31014134,50.21541626,-111.7560229
TXNE 15A-5 HZ ALDSON 11-9-15-14,0499187,FREEHOLD,786.4M,100/11-09-015-14W4/00  S  385.9M  W,528.4M,MEDICINE HAT,2750.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2021-01-05,DEV (NC),ALDERSON,BASAL QUARTZ SD,TORXEN ENERGY LTD.,15-05-015-14W4,5015144,1,1,2021,5015144,50.23004792,-111.8835569
TXNE 15A-5 HZ ALDSON 11-30-14-14,0499188,FREEHOLD,786.7M,100/11-31-014-14W4/00  S  385.9M  W,540.4M,MEDICINE HAT,3100.0,HORIZONTAL,NEW,PRODUCTION,CRUDE OIL,2021-01-05,DEV (NC),ALDERSON,BASAL QUARTZ SD,TORXEN ENERGY LTD.,15-05-015-14W4,5015144,1,1,2021,5015144,50.23004792,-111.8835569
WINSLOW 102 HZ PEMBINA 16-23-45-9,0499189,ALBERTA CROWN,895.6M,102/16-23-045-09W5/00  S  351.0M  E,90.9M,DRAYTON VALLEY,5000.0,HORIZONTAL,NEW,PRODUCTION,GAS,2021-01-05,DEV (NC),PEMBINA,CARDIUM FM,WINSLOW RESOURCES INC.,13-12-045-09W5,12045095,1,1,2021,12045095,52.86517917,-115.1622425
